timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-009,BEN-002,25000,TXN-CINTRA-SYN-009-01
2026-09-05 02:30:00,ACCT-009,BEN-003,62500,TXN-CINTRA-SYN-009-02
2026-09-06 02:30:00,ACCT-009,BEN-004,100000,TXN-CINTRA-SYN-009-03
2026-09-07 02:30:00,ACCT-009,BEN-005,137500,TXN-CINTRA-SYN-009-04
2026-09-08 02:30:00,ACCT-009,BEN-006,175000,TXN-CINTRA-SYN-009-05
2026-09-09 02:30:00,ACCT-009,BEN-007,212500,TXN-CINTRA-SYN-009-06
2026-09-10 02:30:00,ACCT-009,BEN-008,250000,TXN-CINTRA-SYN-009-07
2026-09-11 02:30:00,ACCT-009,BEN-009,287500,TXN-CINTRA-SYN-009-08
2026-09-12 02:30:00,ACCT-009,BEN-010,325000,TXN-CINTRA-SYN-009-09
2026-09-13 02:30:00,ACCT-009,BEN-011,362500,TXN-CINTRA-SYN-009-10
2026-09-14 02:30:00,ACCT-009,BEN-012,400000,TXN-CINTRA-SYN-009-11
2026-09-15 02:30:00,ACCT-009,BEN-013,437500,TXN-CINTRA-SYN-009-12
