caller,receiver,start_time,duration,tower
9876500009,9876500010,2026-08-28 01:45:00,35,TOWER-04
9876500010,9876500018,2026-08-28 02:22:00,52,TOWER-04
9876500011,9876500010,2026-08-28 02:59:00,69,TOWER-04
9876500018,9876500009,2026-08-28 03:36:00,86,TOWER-04
9876500009,9876500011,2026-08-28 04:13:00,103,TOWER-04
9876500010,9876500009,2026-08-28 04:50:00,120,TOWER-04
9876500011,9876500018,2026-08-28 05:27:00,137,TOWER-04
9876500018,9876500010,2026-08-28 06:04:00,154,TOWER-04
9876500009,9876500018,2026-08-28 06:41:00,171,TOWER-04
9876500010,9876500011,2026-08-28 07:18:00,188,TOWER-04
9876500011,9876500009,2026-08-28 07:55:00,205,TOWER-04
9876500018,9876500011,2026-08-28 08:32:00,222,TOWER-04
9876500009,9876500010,2026-08-28 09:09:00,239,TOWER-04
9876500010,9876500018,2026-08-28 09:46:00,46,TOWER-04
9876500011,9876500010,2026-08-28 10:23:00,63,TOWER-04
9876500018,9876500009,2026-08-28 11:00:00,80,TOWER-04
9876500009,9876500011,2026-08-28 11:37:00,97,TOWER-04
9876500010,9876500009,2026-08-28 12:14:00,114,TOWER-04
