caller,receiver,start_time,duration,tower
9876500021,9876500022,2026-09-01 01:45:00,35,TOWER-08
9876500022,9876500030,2026-09-01 02:22:00,52,TOWER-08
9876500023,9876500022,2026-09-01 02:59:00,69,TOWER-08
9876500030,9876500021,2026-09-01 03:36:00,86,TOWER-08
9876500021,9876500023,2026-09-01 04:13:00,103,TOWER-08
9876500022,9876500021,2026-09-01 04:50:00,120,TOWER-08
9876500023,9876500030,2026-09-01 05:27:00,137,TOWER-08
9876500030,9876500022,2026-09-01 06:04:00,154,TOWER-08
9876500021,9876500030,2026-09-01 06:41:00,171,TOWER-08
9876500022,9876500023,2026-09-01 07:18:00,188,TOWER-08
9876500023,9876500021,2026-09-01 07:55:00,205,TOWER-08
9876500030,9876500023,2026-09-01 08:32:00,222,TOWER-08
9876500021,9876500022,2026-09-01 09:09:00,239,TOWER-08
9876500022,9876500030,2026-09-01 09:46:00,46,TOWER-08
9876500023,9876500022,2026-09-01 10:23:00,63,TOWER-08
9876500030,9876500021,2026-09-01 11:00:00,80,TOWER-08
9876500021,9876500023,2026-09-01 11:37:00,97,TOWER-08
9876500022,9876500021,2026-09-01 12:14:00,114,TOWER-08
