caller,receiver,start_time,duration,tower
9876500063,9876500064,2026-09-15 01:45:00,35,TOWER-06
9876500064,9876500000,2026-09-15 02:22:00,52,TOWER-06
9876500065,9876500064,2026-09-15 02:59:00,69,TOWER-06
9876500000,9876500063,2026-09-15 03:36:00,86,TOWER-06
9876500063,9876500065,2026-09-15 04:13:00,103,TOWER-06
9876500064,9876500063,2026-09-15 04:50:00,120,TOWER-06
9876500065,9876500000,2026-09-15 05:27:00,137,TOWER-06
9876500000,9876500064,2026-09-15 06:04:00,154,TOWER-06
9876500063,9876500000,2026-09-15 06:41:00,171,TOWER-06
9876500064,9876500065,2026-09-15 07:18:00,188,TOWER-06
9876500065,9876500063,2026-09-15 07:55:00,205,TOWER-06
9876500000,9876500065,2026-09-15 08:32:00,222,TOWER-06
9876500063,9876500064,2026-09-15 09:09:00,239,TOWER-06
9876500064,9876500000,2026-09-15 09:46:00,46,TOWER-06
9876500065,9876500064,2026-09-15 10:23:00,63,TOWER-06
9876500000,9876500063,2026-09-15 11:00:00,80,TOWER-06
9876500063,9876500065,2026-09-15 11:37:00,97,TOWER-06
9876500064,9876500063,2026-09-15 12:14:00,114,TOWER-06
