caller,receiver,start_time,duration,tower
9876500045,9876500046,2026-09-09 01:45:00,35,TOWER-08
9876500046,9876500054,2026-09-09 02:22:00,52,TOWER-08
9876500047,9876500046,2026-09-09 02:59:00,69,TOWER-08
9876500054,9876500045,2026-09-09 03:36:00,86,TOWER-08
9876500045,9876500047,2026-09-09 04:13:00,103,TOWER-08
9876500046,9876500045,2026-09-09 04:50:00,120,TOWER-08
9876500047,9876500054,2026-09-09 05:27:00,137,TOWER-08
9876500054,9876500046,2026-09-09 06:04:00,154,TOWER-08
9876500045,9876500054,2026-09-09 06:41:00,171,TOWER-08
9876500046,9876500047,2026-09-09 07:18:00,188,TOWER-08
9876500047,9876500045,2026-09-09 07:55:00,205,TOWER-08
9876500054,9876500047,2026-09-09 08:32:00,222,TOWER-08
9876500045,9876500046,2026-09-09 09:09:00,239,TOWER-08
9876500046,9876500054,2026-09-09 09:46:00,46,TOWER-08
9876500047,9876500046,2026-09-09 10:23:00,63,TOWER-08
9876500054,9876500045,2026-09-09 11:00:00,80,TOWER-08
9876500045,9876500047,2026-09-09 11:37:00,97,TOWER-08
9876500046,9876500045,2026-09-09 12:14:00,114,TOWER-08
