timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-007,BEN-000,25000,TXN-CINTRA-SYN-027-01
2026-09-05 02:30:00,ACCT-007,BEN-001,62500,TXN-CINTRA-SYN-027-02
2026-09-06 02:30:00,ACCT-007,BEN-002,100000,TXN-CINTRA-SYN-027-03
2026-09-07 02:30:00,ACCT-007,BEN-003,137500,TXN-CINTRA-SYN-027-04
2026-09-08 02:30:00,ACCT-007,BEN-004,175000,TXN-CINTRA-SYN-027-05
2026-09-09 02:30:00,ACCT-007,BEN-005,212500,TXN-CINTRA-SYN-027-06
2026-09-10 02:30:00,ACCT-007,BEN-006,250000,TXN-CINTRA-SYN-027-07
2026-09-11 02:30:00,ACCT-007,BEN-007,287500,TXN-CINTRA-SYN-027-08
2026-09-12 02:30:00,ACCT-007,BEN-008,325000,TXN-CINTRA-SYN-027-09
2026-09-13 02:30:00,ACCT-007,BEN-009,362500,TXN-CINTRA-SYN-027-10
2026-09-14 02:30:00,ACCT-007,BEN-010,400000,TXN-CINTRA-SYN-027-11
2026-09-15 02:30:00,ACCT-007,BEN-011,437500,TXN-CINTRA-SYN-027-12
