timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-003,BEN-010,25000,TXN-CINTRA-SYN-003-01
2026-09-05 02:30:00,ACCT-003,BEN-011,62500,TXN-CINTRA-SYN-003-02
2026-09-06 02:30:00,ACCT-003,BEN-012,100000,TXN-CINTRA-SYN-003-03
2026-09-07 02:30:00,ACCT-003,BEN-013,137500,TXN-CINTRA-SYN-003-04
2026-09-08 02:30:00,ACCT-003,BEN-014,175000,TXN-CINTRA-SYN-003-05
2026-09-09 02:30:00,ACCT-003,BEN-015,212500,TXN-CINTRA-SYN-003-06
2026-09-10 02:30:00,ACCT-003,BEN-016,250000,TXN-CINTRA-SYN-003-07
2026-09-11 02:30:00,ACCT-003,BEN-000,287500,TXN-CINTRA-SYN-003-08
2026-09-12 02:30:00,ACCT-003,BEN-001,325000,TXN-CINTRA-SYN-003-09
2026-09-13 02:30:00,ACCT-003,BEN-002,362500,TXN-CINTRA-SYN-003-10
2026-09-14 02:30:00,ACCT-003,BEN-003,400000,TXN-CINTRA-SYN-003-11
2026-09-15 02:30:00,ACCT-003,BEN-004,437500,TXN-CINTRA-SYN-003-12
