timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-008,BEN-009,25000,TXN-CINTRA-SYN-008-01
2026-09-05 02:30:00,ACCT-008,BEN-010,62500,TXN-CINTRA-SYN-008-02
2026-09-06 02:30:00,ACCT-008,BEN-011,100000,TXN-CINTRA-SYN-008-03
2026-09-07 02:30:00,ACCT-008,BEN-012,137500,TXN-CINTRA-SYN-008-04
2026-09-08 02:30:00,ACCT-008,BEN-013,175000,TXN-CINTRA-SYN-008-05
2026-09-09 02:30:00,ACCT-008,BEN-014,212500,TXN-CINTRA-SYN-008-06
2026-09-10 02:30:00,ACCT-008,BEN-015,250000,TXN-CINTRA-SYN-008-07
2026-09-11 02:30:00,ACCT-008,BEN-016,287500,TXN-CINTRA-SYN-008-08
2026-09-12 02:30:00,ACCT-008,BEN-000,325000,TXN-CINTRA-SYN-008-09
2026-09-13 02:30:00,ACCT-008,BEN-001,362500,TXN-CINTRA-SYN-008-10
2026-09-14 02:30:00,ACCT-008,BEN-002,400000,TXN-CINTRA-SYN-008-11
2026-09-15 02:30:00,ACCT-008,BEN-003,437500,TXN-CINTRA-SYN-008-12
