timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-006,BEN-006,25000,TXN-CINTRA-SYN-006-01
2026-09-05 02:30:00,ACCT-006,BEN-007,62500,TXN-CINTRA-SYN-006-02
2026-09-06 02:30:00,ACCT-006,BEN-008,100000,TXN-CINTRA-SYN-006-03
2026-09-07 02:30:00,ACCT-006,BEN-009,137500,TXN-CINTRA-SYN-006-04
2026-09-08 02:30:00,ACCT-006,BEN-010,175000,TXN-CINTRA-SYN-006-05
2026-09-09 02:30:00,ACCT-006,BEN-011,212500,TXN-CINTRA-SYN-006-06
2026-09-10 02:30:00,ACCT-006,BEN-012,250000,TXN-CINTRA-SYN-006-07
2026-09-11 02:30:00,ACCT-006,BEN-013,287500,TXN-CINTRA-SYN-006-08
2026-09-12 02:30:00,ACCT-006,BEN-014,325000,TXN-CINTRA-SYN-006-09
2026-09-13 02:30:00,ACCT-006,BEN-015,362500,TXN-CINTRA-SYN-006-10
2026-09-14 02:30:00,ACCT-006,BEN-016,400000,TXN-CINTRA-SYN-006-11
2026-09-15 02:30:00,ACCT-006,BEN-000,437500,TXN-CINTRA-SYN-006-12
