timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-004,BEN-016,25000,TXN-CINTRA-SYN-024-01
2026-09-05 02:30:00,ACCT-004,BEN-000,62500,TXN-CINTRA-SYN-024-02
2026-09-06 02:30:00,ACCT-004,BEN-001,100000,TXN-CINTRA-SYN-024-03
2026-09-07 02:30:00,ACCT-004,BEN-002,137500,TXN-CINTRA-SYN-024-04
2026-09-08 02:30:00,ACCT-004,BEN-003,175000,TXN-CINTRA-SYN-024-05
2026-09-09 02:30:00,ACCT-004,BEN-004,212500,TXN-CINTRA-SYN-024-06
2026-09-10 02:30:00,ACCT-004,BEN-005,250000,TXN-CINTRA-SYN-024-07
2026-09-11 02:30:00,ACCT-004,BEN-006,287500,TXN-CINTRA-SYN-024-08
2026-09-12 02:30:00,ACCT-004,BEN-007,325000,TXN-CINTRA-SYN-024-09
2026-09-13 02:30:00,ACCT-004,BEN-008,362500,TXN-CINTRA-SYN-024-10
2026-09-14 02:30:00,ACCT-004,BEN-009,400000,TXN-CINTRA-SYN-024-11
2026-09-15 02:30:00,ACCT-004,BEN-010,437500,TXN-CINTRA-SYN-024-12
