caller,receiver,start_time,duration,tower
9876500027,9876500028,2026-09-03 01:45:00,35,TOWER-02
9876500028,9876500036,2026-09-03 02:22:00,52,TOWER-02
9876500029,9876500028,2026-09-03 02:59:00,69,TOWER-02
9876500036,9876500027,2026-09-03 03:36:00,86,TOWER-02
9876500027,9876500029,2026-09-03 04:13:00,103,TOWER-02
9876500028,9876500027,2026-09-03 04:50:00,120,TOWER-02
9876500029,9876500036,2026-09-03 05:27:00,137,TOWER-02
9876500036,9876500028,2026-09-03 06:04:00,154,TOWER-02
9876500027,9876500036,2026-09-03 06:41:00,171,TOWER-02
9876500028,9876500029,2026-09-03 07:18:00,188,TOWER-02
9876500029,9876500027,2026-09-03 07:55:00,205,TOWER-02
9876500036,9876500029,2026-09-03 08:32:00,222,TOWER-02
9876500027,9876500028,2026-09-03 09:09:00,239,TOWER-02
9876500028,9876500036,2026-09-03 09:46:00,46,TOWER-02
9876500029,9876500028,2026-09-03 10:23:00,63,TOWER-02
9876500036,9876500027,2026-09-03 11:00:00,80,TOWER-02
9876500027,9876500029,2026-09-03 11:37:00,97,TOWER-02
9876500028,9876500027,2026-09-03 12:14:00,114,TOWER-02
