caller,receiver,start_time,duration,tower
9876500006,9876500007,2026-08-28 02:30:00,30,TOWER-04
9876500007,9876500008,2026-08-28 02:59:00,49,TOWER-05
9876500008,9876500015,2026-08-28 03:28:00,68,TOWER-06
9876500015,9876500006,2026-08-28 03:57:00,87,TOWER-07
9876500006,9876500007,2026-08-28 04:26:00,106,TOWER-08
9876500007,9876500008,2026-08-28 04:55:00,125,TOWER-09
9876500008,9876500015,2026-08-28 05:24:00,144,TOWER-10
9876500015,9876500006,2026-08-28 05:53:00,163,TOWER-11
9876500006,9876500007,2026-08-28 06:22:00,182,TOWER-00
9876500007,9876500008,2026-08-28 06:51:00,201,TOWER-01
9876500008,9876500015,2026-08-28 07:20:00,220,TOWER-02
9876500015,9876500006,2026-08-28 07:49:00,239,TOWER-03
9876500006,9876500007,2026-08-28 08:18:00,258,TOWER-04
9876500007,9876500008,2026-08-28 08:47:00,277,TOWER-05
9876500008,9876500015,2026-08-28 09:16:00,36,TOWER-06
9876500015,9876500006,2026-08-28 09:45:00,55,TOWER-07
9876500006,9876500007,2026-08-28 10:14:00,74,TOWER-08
9876500007,9876500008,2026-08-28 10:43:00,93,TOWER-09
9876500008,9876500015,2026-08-28 11:12:00,112,TOWER-10
9876500015,9876500006,2026-08-28 11:41:00,131,TOWER-11
9876500006,9876500007,2026-08-28 12:10:00,150,TOWER-00
9876500007,9876500008,2026-08-28 12:39:00,169,TOWER-01
