timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-002,BEN-001,25000,TXN-CINTRA-SYN-022-01
2026-09-05 02:30:00,ACCT-002,BEN-002,62500,TXN-CINTRA-SYN-022-02
2026-09-06 02:30:00,ACCT-002,BEN-003,100000,TXN-CINTRA-SYN-022-03
2026-09-07 02:30:00,ACCT-002,BEN-004,137500,TXN-CINTRA-SYN-022-04
2026-09-08 02:30:00,ACCT-002,BEN-005,175000,TXN-CINTRA-SYN-022-05
2026-09-09 02:30:00,ACCT-002,BEN-006,212500,TXN-CINTRA-SYN-022-06
2026-09-10 02:30:00,ACCT-002,BEN-007,250000,TXN-CINTRA-SYN-022-07
2026-09-11 02:30:00,ACCT-002,BEN-008,287500,TXN-CINTRA-SYN-022-08
2026-09-12 02:30:00,ACCT-002,BEN-009,325000,TXN-CINTRA-SYN-022-09
2026-09-13 02:30:00,ACCT-002,BEN-010,362500,TXN-CINTRA-SYN-022-10
2026-09-14 02:30:00,ACCT-002,BEN-011,400000,TXN-CINTRA-SYN-022-11
2026-09-15 02:30:00,ACCT-002,BEN-012,437500,TXN-CINTRA-SYN-022-12
