timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-005,BEN-013,25000,TXN-CINTRA-SYN-005-01
2026-09-05 02:30:00,ACCT-005,BEN-014,62500,TXN-CINTRA-SYN-005-02
2026-09-06 02:30:00,ACCT-005,BEN-015,100000,TXN-CINTRA-SYN-005-03
2026-09-07 02:30:00,ACCT-005,BEN-016,137500,TXN-CINTRA-SYN-005-04
2026-09-08 02:30:00,ACCT-005,BEN-000,175000,TXN-CINTRA-SYN-005-05
2026-09-09 02:30:00,ACCT-005,BEN-001,212500,TXN-CINTRA-SYN-005-06
2026-09-10 02:30:00,ACCT-005,BEN-002,250000,TXN-CINTRA-SYN-005-07
2026-09-11 02:30:00,ACCT-005,BEN-003,287500,TXN-CINTRA-SYN-005-08
2026-09-12 02:30:00,ACCT-005,BEN-004,325000,TXN-CINTRA-SYN-005-09
2026-09-13 02:30:00,ACCT-005,BEN-005,362500,TXN-CINTRA-SYN-005-10
2026-09-14 02:30:00,ACCT-005,BEN-006,400000,TXN-CINTRA-SYN-005-11
2026-09-15 02:30:00,ACCT-005,BEN-007,437500,TXN-CINTRA-SYN-005-12
