caller,receiver,start_time,duration,tower
9876500006,9876500007,2026-08-27 01:45:00,35,TOWER-03
9876500007,9876500015,2026-08-27 02:22:00,52,TOWER-03
9876500008,9876500007,2026-08-27 02:59:00,69,TOWER-03
9876500015,9876500006,2026-08-27 03:36:00,86,TOWER-03
9876500006,9876500008,2026-08-27 04:13:00,103,TOWER-03
9876500007,9876500006,2026-08-27 04:50:00,120,TOWER-03
9876500008,9876500015,2026-08-27 05:27:00,137,TOWER-03
9876500015,9876500007,2026-08-27 06:04:00,154,TOWER-03
9876500006,9876500015,2026-08-27 06:41:00,171,TOWER-03
9876500007,9876500008,2026-08-27 07:18:00,188,TOWER-03
9876500008,9876500006,2026-08-27 07:55:00,205,TOWER-03
9876500015,9876500008,2026-08-27 08:32:00,222,TOWER-03
9876500006,9876500007,2026-08-27 09:09:00,239,TOWER-03
9876500007,9876500015,2026-08-27 09:46:00,46,TOWER-03
9876500008,9876500007,2026-08-27 10:23:00,63,TOWER-03
9876500015,9876500006,2026-08-27 11:00:00,80,TOWER-03
9876500006,9876500008,2026-08-27 11:37:00,97,TOWER-03
9876500007,9876500006,2026-08-27 12:14:00,114,TOWER-03
