caller,receiver,start_time,duration,tower
9876500045,9876500046,2026-09-07 02:30:00,30,TOWER-02
9876500046,9876500047,2026-09-07 02:59:00,49,TOWER-03
9876500047,9876500054,2026-09-07 03:28:00,68,TOWER-04
9876500054,9876500045,2026-09-07 03:57:00,87,TOWER-05
9876500045,9876500046,2026-09-07 04:26:00,106,TOWER-06
9876500046,9876500047,2026-09-07 04:55:00,125,TOWER-07
9876500047,9876500054,2026-09-07 05:24:00,144,TOWER-08
9876500054,9876500045,2026-09-07 05:53:00,163,TOWER-09
9876500045,9876500046,2026-09-07 06:22:00,182,TOWER-10
9876500046,9876500047,2026-09-07 06:51:00,201,TOWER-11
9876500047,9876500054,2026-09-07 07:20:00,220,TOWER-00
9876500054,9876500045,2026-09-07 07:49:00,239,TOWER-01
9876500045,9876500046,2026-09-07 08:18:00,258,TOWER-02
9876500046,9876500047,2026-09-07 08:47:00,277,TOWER-03
9876500047,9876500054,2026-09-07 09:16:00,36,TOWER-04
9876500054,9876500045,2026-09-07 09:45:00,55,TOWER-05
9876500045,9876500046,2026-09-07 10:14:00,74,TOWER-06
9876500046,9876500047,2026-09-07 10:43:00,93,TOWER-07
9876500047,9876500054,2026-09-07 11:12:00,112,TOWER-08
9876500054,9876500045,2026-09-07 11:41:00,131,TOWER-09
9876500045,9876500046,2026-09-07 12:10:00,150,TOWER-10
9876500046,9876500047,2026-09-07 12:39:00,169,TOWER-11
