timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-007,BEN-004,25000,TXN-CINTRA-SYN-007-01
2026-09-05 02:30:00,ACCT-007,BEN-005,62500,TXN-CINTRA-SYN-007-02
2026-09-06 02:30:00,ACCT-007,BEN-006,100000,TXN-CINTRA-SYN-007-03
2026-09-07 02:30:00,ACCT-007,BEN-007,137500,TXN-CINTRA-SYN-007-04
2026-09-08 02:30:00,ACCT-007,BEN-008,175000,TXN-CINTRA-SYN-007-05
2026-09-09 02:30:00,ACCT-007,BEN-009,212500,TXN-CINTRA-SYN-007-06
2026-09-10 02:30:00,ACCT-007,BEN-010,250000,TXN-CINTRA-SYN-007-07
2026-09-11 02:30:00,ACCT-007,BEN-011,287500,TXN-CINTRA-SYN-007-08
2026-09-12 02:30:00,ACCT-007,BEN-012,325000,TXN-CINTRA-SYN-007-09
2026-09-13 02:30:00,ACCT-007,BEN-013,362500,TXN-CINTRA-SYN-007-10
2026-09-14 02:30:00,ACCT-007,BEN-014,400000,TXN-CINTRA-SYN-007-11
2026-09-15 02:30:00,ACCT-007,BEN-015,437500,TXN-CINTRA-SYN-007-12
