caller,receiver,start_time,duration,tower
9876500057,9876500058,2026-09-13 01:45:00,35,TOWER-04
9876500058,9876500066,2026-09-13 02:22:00,52,TOWER-04
9876500059,9876500058,2026-09-13 02:59:00,69,TOWER-04
9876500066,9876500057,2026-09-13 03:36:00,86,TOWER-04
9876500057,9876500059,2026-09-13 04:13:00,103,TOWER-04
9876500058,9876500057,2026-09-13 04:50:00,120,TOWER-04
9876500059,9876500066,2026-09-13 05:27:00,137,TOWER-04
9876500066,9876500058,2026-09-13 06:04:00,154,TOWER-04
9876500057,9876500066,2026-09-13 06:41:00,171,TOWER-04
9876500058,9876500059,2026-09-13 07:18:00,188,TOWER-04
9876500059,9876500057,2026-09-13 07:55:00,205,TOWER-04
9876500066,9876500059,2026-09-13 08:32:00,222,TOWER-04
9876500057,9876500058,2026-09-13 09:09:00,239,TOWER-04
9876500058,9876500066,2026-09-13 09:46:00,46,TOWER-04
9876500059,9876500058,2026-09-13 10:23:00,63,TOWER-04
9876500066,9876500057,2026-09-13 11:00:00,80,TOWER-04
9876500057,9876500059,2026-09-13 11:37:00,97,TOWER-04
9876500058,9876500057,2026-09-13 12:14:00,114,TOWER-04
