timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-001,BEN-003,25000,TXN-CINTRA-SYN-021-01
2026-09-05 02:30:00,ACCT-001,BEN-004,62500,TXN-CINTRA-SYN-021-02
2026-09-06 02:30:00,ACCT-001,BEN-005,100000,TXN-CINTRA-SYN-021-03
2026-09-07 02:30:00,ACCT-001,BEN-006,137500,TXN-CINTRA-SYN-021-04
2026-09-08 02:30:00,ACCT-001,BEN-007,175000,TXN-CINTRA-SYN-021-05
2026-09-09 02:30:00,ACCT-001,BEN-008,212500,TXN-CINTRA-SYN-021-06
2026-09-10 02:30:00,ACCT-001,BEN-009,250000,TXN-CINTRA-SYN-021-07
2026-09-11 02:30:00,ACCT-001,BEN-010,287500,TXN-CINTRA-SYN-021-08
2026-09-12 02:30:00,ACCT-001,BEN-011,325000,TXN-CINTRA-SYN-021-09
2026-09-13 02:30:00,ACCT-001,BEN-012,362500,TXN-CINTRA-SYN-021-10
2026-09-14 02:30:00,ACCT-001,BEN-013,400000,TXN-CINTRA-SYN-021-11
2026-09-15 02:30:00,ACCT-001,BEN-014,437500,TXN-CINTRA-SYN-021-12
