timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-007,BEN-012,25000,TXN-CINTRA-SYN-027-01
2026-09-05 02:30:00,ACCT-007,BEN-013,62500,TXN-CINTRA-SYN-027-02
2026-09-06 02:30:00,ACCT-007,BEN-014,100000,TXN-CINTRA-SYN-027-03
2026-09-07 02:30:00,ACCT-007,BEN-015,137500,TXN-CINTRA-SYN-027-04
2026-09-08 02:30:00,ACCT-007,BEN-016,175000,TXN-CINTRA-SYN-027-05
2026-09-09 02:30:00,ACCT-007,BEN-000,212500,TXN-CINTRA-SYN-027-06
2026-09-10 02:30:00,ACCT-007,BEN-001,250000,TXN-CINTRA-SYN-027-07
2026-09-11 02:30:00,ACCT-007,BEN-002,287500,TXN-CINTRA-SYN-027-08
2026-09-12 02:30:00,ACCT-007,BEN-003,325000,TXN-CINTRA-SYN-027-09
2026-09-13 02:30:00,ACCT-007,BEN-004,362500,TXN-CINTRA-SYN-027-10
2026-09-14 02:30:00,ACCT-007,BEN-005,400000,TXN-CINTRA-SYN-027-11
2026-09-15 02:30:00,ACCT-007,BEN-006,437500,TXN-CINTRA-SYN-027-12
