caller,receiver,start_time,duration,tower
9876500005,9876500000,2026-09-18 01:45:00,35,TOWER-01
9876500000,9876500002,2026-09-18 02:22:00,52,TOWER-01
9876500001,9876500000,2026-09-18 02:59:00,69,TOWER-01
9876500002,9876500005,2026-09-18 03:36:00,86,TOWER-01
9876500005,9876500001,2026-09-18 04:13:00,103,TOWER-01
9876500000,9876500005,2026-09-18 04:50:00,120,TOWER-01
9876500001,9876500002,2026-09-18 05:27:00,137,TOWER-01
9876500002,9876500000,2026-09-18 06:04:00,154,TOWER-01
9876500005,9876500002,2026-09-18 06:41:00,171,TOWER-01
9876500000,9876500001,2026-09-18 07:18:00,188,TOWER-01
9876500001,9876500005,2026-09-18 07:55:00,205,TOWER-01
9876500002,9876500001,2026-09-18 08:32:00,222,TOWER-01
9876500005,9876500000,2026-09-18 09:09:00,239,TOWER-01
9876500000,9876500002,2026-09-18 09:46:00,46,TOWER-01
9876500001,9876500000,2026-09-18 10:23:00,63,TOWER-01
9876500002,9876500005,2026-09-18 11:00:00,80,TOWER-01
9876500005,9876500001,2026-09-18 11:37:00,97,TOWER-01
9876500000,9876500005,2026-09-18 12:14:00,114,TOWER-01
