timestamp,from_account,to_account,amount_inr,reference
2026-09-04 02:30:00,ACCT-004,BEN-008,25000,TXN-CINTRA-SYN-004-01
2026-09-05 02:30:00,ACCT-004,BEN-009,62500,TXN-CINTRA-SYN-004-02
2026-09-06 02:30:00,ACCT-004,BEN-010,100000,TXN-CINTRA-SYN-004-03
2026-09-07 02:30:00,ACCT-004,BEN-011,137500,TXN-CINTRA-SYN-004-04
2026-09-08 02:30:00,ACCT-004,BEN-012,175000,TXN-CINTRA-SYN-004-05
2026-09-09 02:30:00,ACCT-004,BEN-013,212500,TXN-CINTRA-SYN-004-06
2026-09-10 02:30:00,ACCT-004,BEN-014,250000,TXN-CINTRA-SYN-004-07
2026-09-11 02:30:00,ACCT-004,BEN-015,287500,TXN-CINTRA-SYN-004-08
2026-09-12 02:30:00,ACCT-004,BEN-016,325000,TXN-CINTRA-SYN-004-09
2026-09-13 02:30:00,ACCT-004,BEN-000,362500,TXN-CINTRA-SYN-004-10
2026-09-14 02:30:00,ACCT-004,BEN-001,400000,TXN-CINTRA-SYN-004-11
2026-09-15 02:30:00,ACCT-004,BEN-002,437500,TXN-CINTRA-SYN-004-12
