caller,receiver,start_time,duration,tower
9876500011,9876500006,2026-09-20 01:45:00,35,TOWER-03
9876500006,9876500008,2026-09-20 02:22:00,52,TOWER-03
9876500007,9876500006,2026-09-20 02:59:00,69,TOWER-03
9876500008,9876500011,2026-09-20 03:36:00,86,TOWER-03
9876500011,9876500007,2026-09-20 04:13:00,103,TOWER-03
9876500006,9876500011,2026-09-20 04:50:00,120,TOWER-03
9876500007,9876500008,2026-09-20 05:27:00,137,TOWER-03
9876500008,9876500006,2026-09-20 06:04:00,154,TOWER-03
9876500011,9876500008,2026-09-20 06:41:00,171,TOWER-03
9876500006,9876500007,2026-09-20 07:18:00,188,TOWER-03
9876500007,9876500011,2026-09-20 07:55:00,205,TOWER-03
9876500008,9876500007,2026-09-20 08:32:00,222,TOWER-03
9876500011,9876500006,2026-09-20 09:09:00,239,TOWER-03
9876500006,9876500008,2026-09-20 09:46:00,46,TOWER-03
9876500007,9876500006,2026-09-20 10:23:00,63,TOWER-03
9876500008,9876500011,2026-09-20 11:00:00,80,TOWER-03
9876500011,9876500007,2026-09-20 11:37:00,97,TOWER-03
9876500006,9876500011,2026-09-20 12:14:00,114,TOWER-03
